CRMA;LRRC15_CAF;Myeloid_DC;NonResponse_Ivy;TGFB_Mariathasan;ADO;APM_Thompson;APM_Wang;B_cell_Budczies;B_cell_Helmink;Blood_Response;CD8_Jiang;CD8_SF;CYT;IFNG;ImmuneCells;Inflammatory;IRG_Ayers;KDM5A;M1;Macrophage;PDL1;peri_Tcell;Response_Ivy;STAT1;T_cell_inflamed;TIS;TLS;C_ECM;EMT_Thompson;PTEN_loss;T_cell_exclusion;IRG_Yang;IMPRES;MPS
;;;LRP8;;;;;;;;;;;;;;;;;;;;TBC1D2B;;;;;;;HOXB5;;;;
;;;RPL29;;;;;;;;;;;;;;;;;;;;C13orf18;;;;;;;MOXD1;;;;
;;;ORC6;;;;;;;;;;;;;;;;;;;;VCAM1;;;;;;;PCDH17;;;;
;;;CDCA8;;;;;;;;;;;;;;;;;;;;PCSK7;;;;;;;PHLDB2;;;;
;;;UNG;;;;;;;;;;;;;;;;;;;;PTGER4;;;;;;;CDH2;;;;
;;;BYSL;;;;;;;;;;;;;;;;;;;;C1QA;;;;;;;DDAH1;;;;
;;;UBQLN1;;;;;;;;;;;;;;;;;;;;PLEKHA2;;;;;;;POSTN;;;;
;;;CDC7;;;;;;;;;;;;;;;;;;;;LAT2;;;;;;;ID3;;;;
;;;FAM91A1;;;;;;;;;;;;;;;;;;;;APOBEC3C;;;;;;;FAM46A;;;;
;;;MTERFD1;;;;;;;;;;;;;;;;;;;;TCRVB;;;;;;;SBK1;;;;
;;;ERCC6L;;;;;;;;;;;;;;;;;;;;BTN3A1;;;;;;;UBE2E3;;;;
;;;TCEB1;;;;;;;;;;;;;;;;;;;;INPP5D;;;;;;;ERRFI1;;;;
;;;SNRPA1;;;;;;;;;;;;;;;;;;;;GIMAP7;;;;;;;NTM;;;;
;;;KIFC1;;;;;;;;;;;;;;;;;;;;CD8A;;;;;;;PMEPA1;;;;
;;;KIAA0101;;;;;;;;;;;;;;;;;;;;CSK;;;;;;;ANGPT1;;;;
;;;PLK1;;;;;;;;;;;;;;;;;;;;SAP25;;;;;;;PCOLCE;;;;
;;;CSE1L;;;;;;;;;;;;;;;;;;;;LY9;;;;;;;FZD1;;;;
;;;ACTL6A;;;;;;;;;;;;;;;;;;;;NCF1C;;;;;;;PFTK1;;;;
;;;CDKN3;;;;;;;;;;;;;;;;;;;;LYL1;;;;;;;SPRY2;;;;
;;;C15orf42;;;;;;;;;;;;;;;;;;;;NAPSB;;;;;;;CDK6;;;;
;;;CCT3;;;;;;;;;;;;;;;;;;;;PRKCH;;;;;;;VCAN;;;;
;;;TOMM5;;;;;;;;;;;;;;;;;;;;MYO9B;;;;;;;DPYSL3;;;;
